force,slug,fy,recorded_crime
Avon and Somerset,avon-and-somerset,2012/13,99355
Avon and Somerset,avon-and-somerset,2013/14,96867
Avon and Somerset,avon-and-somerset,2014/15,97989
Avon and Somerset,avon-and-somerset,2015/16,119775
Avon and Somerset,avon-and-somerset,2016/17,139986
Avon and Somerset,avon-and-somerset,2017/18,140317
Avon and Somerset,avon-and-somerset,2018/19,137560
Avon and Somerset,avon-and-somerset,2019/20,141217
Avon and Somerset,avon-and-somerset,2020/21,121775
Avon and Somerset,avon-and-somerset,2021/22,140431
Avon and Somerset,avon-and-somerset,2022/23,142183
Avon and Somerset,avon-and-somerset,2023/24,150861
Avon and Somerset,avon-and-somerset,2024/25,168350
Avon and Somerset,avon-and-somerset,2025/26,175347
Bedfordshire,bedfordshire,2012/13,35678
Bedfordshire,bedfordshire,2013/14,36262
Bedfordshire,bedfordshire,2014/15,39105
Bedfordshire,bedfordshire,2015/16,40682
Bedfordshire,bedfordshire,2016/17,42837
Bedfordshire,bedfordshire,2017/18,46912
Bedfordshire,bedfordshire,2018/19,56668
Bedfordshire,bedfordshire,2019/20,55971
Bedfordshire,bedfordshire,2020/21,48250
Bedfordshire,bedfordshire,2021/22,51402
Bedfordshire,bedfordshire,2022/23,50862
Bedfordshire,bedfordshire,2023/24,50072
Bedfordshire,bedfordshire,2024/25,52034
Bedfordshire,bedfordshire,2025/26,51458
British Transport Police,british-transport-police,2012/13,52189
British Transport Police,british-transport-police,2013/14,49130
British Transport Police,british-transport-police,2014/15,44949
Cambridgeshire,cambridgeshire,2012/13,46435
Cambridgeshire,cambridgeshire,2013/14,43970
Cambridgeshire,cambridgeshire,2014/15,46321
Cambridgeshire,cambridgeshire,2015/16,48574
Cambridgeshire,cambridgeshire,2016/17,57854
Cambridgeshire,cambridgeshire,2017/18,66135
Cambridgeshire,cambridgeshire,2018/19,64505
Cambridgeshire,cambridgeshire,2019/20,68220
Cambridgeshire,cambridgeshire,2020/21,60084
Cambridgeshire,cambridgeshire,2021/22,67696
Cambridgeshire,cambridgeshire,2022/23,71472
Cambridgeshire,cambridgeshire,2023/24,68875
Cambridgeshire,cambridgeshire,2024/25,67702
Cambridgeshire,cambridgeshire,2025/26,69372
Cheshire,cheshire,2012/13,57287
Cheshire,cheshire,2013/14,55501
Cheshire,cheshire,2014/15,53647
Cheshire,cheshire,2015/16,52762
Cheshire,cheshire,2016/17,65922
Cheshire,cheshire,2017/18,87445
Cheshire,cheshire,2018/19,94540
Cheshire,cheshire,2019/20,94985
Cheshire,cheshire,2020/21,83178
Cheshire,cheshire,2021/22,90071
Cheshire,cheshire,2022/23,86580
Cheshire,cheshire,2023/24,78869
Cheshire,cheshire,2024/25,78370
Cheshire,cheshire,2025/26,77061
City of London,city-of-london,2012/13,5554
City of London,city-of-london,2013/14,5441
City of London,city-of-london,2014/15,5318
City of London,city-of-london,2015/16,5227
City of London,city-of-london,2016/17,5493
City of London,city-of-london,2017/18,5870
City of London,city-of-london,2018/19,7195
City of London,city-of-london,2019/20,8734
City of London,city-of-london,2020/21,3858
City of London,city-of-london,2021/22,6312
City of London,city-of-london,2022/23,7664
City of London,city-of-london,2023/24,8783
City of London,city-of-london,2024/25,9184
City of London,city-of-london,2025/26,8731
Cleveland,cleveland,2012/13,39523
Cleveland,cleveland,2013/14,38973
Cleveland,cleveland,2014/15,42041
Cleveland,cleveland,2015/16,47976
Cleveland,cleveland,2016/17,50657
