force,slug,fy,offence_group,closed_oocd,closed_charge,recorded_oocd,recorded_charge
Avon and Somerset,avon-and-somerset,2014/15,Criminal damage and arson,1029,1226,1035,1238
Avon and Somerset,avon-and-somerset,2014/15,Drug offences,2351,1603,2354,1564
Avon and Somerset,avon-and-somerset,2014/15,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2014/15,Miscellaneous crimes against society,188,521,187,491
Avon and Somerset,avon-and-somerset,2014/15,Possession of weapons offences,59,294,58,298
Avon and Somerset,avon-and-somerset,2014/15,Public order offences,786,1487,765,1480
Avon and Somerset,avon-and-somerset,2014/15,Robbery,3,168,3,174
Avon and Somerset,avon-and-somerset,2014/15,Sexual offences,59,414,58,349
Avon and Somerset,avon-and-somerset,2014/15,Theft offences,2680,5541,2669,5500
Avon and Somerset,avon-and-somerset,2014/15,Violence against the person,2016,4800,1989,4820
Avon and Somerset,avon-and-somerset,2015/16,Criminal damage and arson,606,1069,639,1264
Avon and Somerset,avon-and-somerset,2015/16,Drug offences,1535,1189,1652,1257
Avon and Somerset,avon-and-somerset,2015/16,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2015/16,Miscellaneous crimes against society,93,332,113,370
Avon and Somerset,avon-and-somerset,2015/16,Possession of weapons offences,39,212,51,220
Avon and Somerset,avon-and-somerset,2015/16,Public order offences,440,1057,486,1243
Avon and Somerset,avon-and-somerset,2015/16,Robbery,2,88,6,135
Avon and Somerset,avon-and-somerset,2015/16,Sexual offences,33,234,48,340
Avon and Somerset,avon-and-somerset,2015/16,Theft offences,1728,3857,1890,4457
Avon and Somerset,avon-and-somerset,2015/16,Violence against the person,1388,3596,1654,4410
Avon and Somerset,avon-and-somerset,2016/17,Criminal damage and arson,671,1258,613,1124
Avon and Somerset,avon-and-somerset,2016/17,Drug offences,1458,1189,1405,1395
Avon and Somerset,avon-and-somerset,2016/17,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2016/17,Miscellaneous crimes against society,110,386,104,425
Avon and Somerset,avon-and-somerset,2016/17,Possession of weapons offences,60,265,53,282
Avon and Somerset,avon-and-somerset,2016/17,Public order offences,584,1487,560,1392
Avon and Somerset,avon-and-somerset,2016/17,Robbery,14,171,9,140
Avon and Somerset,avon-and-somerset,2016/17,Sexual offences,54,351,47,413
Avon and Somerset,avon-and-somerset,2016/17,Theft offences,1617,4784,1435,4489
Avon and Somerset,avon-and-somerset,2016/17,Violence against the person,1808,4848,1584,4291
Avon and Somerset,avon-and-somerset,2017/18,Criminal damage and arson,494,1000,546,1017
Avon and Somerset,avon-and-somerset,2017/18,Drug offences,1197,1069,1227,1034
Avon and Somerset,avon-and-somerset,2017/18,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2017/18,Miscellaneous crimes against society,112,344,108,381
Avon and Somerset,avon-and-somerset,2017/18,Possession of weapons offences,56,307,64,328
Avon and Somerset,avon-and-somerset,2017/18,Public order offences,432,1361,456,1462
Avon and Somerset,avon-and-somerset,2017/18,Robbery,10,156,14,162
Avon and Somerset,avon-and-somerset,2017/18,Sexual offences,37,384,48,364
Avon and Somerset,avon-and-somerset,2017/18,Theft offences,923,3473,967,3441
Avon and Somerset,avon-and-somerset,2017/18,Violence against the person,1303,4172,1419,4503
Avon and Somerset,avon-and-somerset,2018/19,Criminal damage and arson,522,925,572,1057
Avon and Somerset,avon-and-somerset,2018/19,Drug offences,864,943,902,1066
Avon and Somerset,avon-and-somerset,2018/19,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2018/19,Miscellaneous crimes against society,69,293,73,316
Avon and Somerset,avon-and-somerset,2018/19,Possession of weapons offences,57,336,65,390
Avon and Somerset,avon-and-somerset,2018/19,Public order offences,427,1374,449,1531
Avon and Somerset,avon-and-somerset,2018/19,Robbery,6,124,8,149
Avon and Somerset,avon-and-somerset,2018/19,Sexual offences,43,269,39,336
Avon and Somerset,avon-and-somerset,2018/19,Theft offences,754,3007,797,3475
Avon and Somerset,avon-and-somerset,2018/19,Violence against the person,1304,4140,1413,4500
Avon and Somerset,avon-and-somerset,2019/20,Criminal damage and arson,622,1021,521,900
Avon and Somerset,avon-and-somerset,2019/20,Drug offences,1314,1155,1448,1167
Avon and Somerset,avon-and-somerset,2019/20,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2019/20,Miscellaneous crimes against society,86,357,84,322
Avon and Somerset,avon-and-somerset,2019/20,Possession of weapons offences,119,421,118,376
Avon and Somerset,avon-and-somerset,2019/20,Public order offences,519,1667,482,1502
Avon and Somerset,avon-and-somerset,2019/20,Robbery,21,189,23,194
Avon and Somerset,avon-and-somerset,2019/20,Sexual offences,67,273,65,304
Avon and Somerset,avon-and-somerset,2019/20,Theft offences,766,3693,641,3238
Avon and Somerset,avon-and-somerset,2019/20,Violence against the person,1660,4295,1541,3928
Avon and Somerset,avon-and-somerset,2020/21,Criminal damage and arson,495,894,508,896
Avon and Somerset,avon-and-somerset,2020/21,Drug offences,1755,1116,1709,1100
Avon and Somerset,avon-and-somerset,2020/21,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2020/21,Miscellaneous crimes against society,75,260,74,308
Avon and Somerset,avon-and-somerset,2020/21,Possession of weapons offences,107,366,115,366
Avon and Somerset,avon-and-somerset,2020/21,Public order offences,507,1667,526,1701
Avon and Somerset,avon-and-somerset,2020/21,Robbery,25,190,23,171
Avon and Somerset,avon-and-somerset,2020/21,Sexual offences,44,241,46,336
Avon and Somerset,avon-and-somerset,2020/21,Theft offences,432,2289,414,1903
Avon and Somerset,avon-and-somerset,2020/21,Violence against the person,1693,3895,1718,3835
Avon and Somerset,avon-and-somerset,2021/22,Criminal damage and arson,546,817,578,872
Avon and Somerset,avon-and-somerset,2021/22,Drug offences,1304,962,1187,872
Avon and Somerset,avon-and-somerset,2021/22,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2021/22,Miscellaneous crimes against society,94,267,112,309
Avon and Somerset,avon-and-somerset,2021/22,Possession of weapons offences,138,278,139,278
Avon and Somerset,avon-and-somerset,2021/22,Public order offences,614,1633,615,1684
Avon and Somerset,avon-and-somerset,2021/22,Robbery,25,128,29,116
Avon and Somerset,avon-and-somerset,2021/22,Sexual offences,70,336,79,504
Avon and Somerset,avon-and-somerset,2021/22,Theft offences,514,1786,537,1809
Avon and Somerset,avon-and-somerset,2021/22,Violence against the person,2069,3884,2148,4156
Avon and Somerset,avon-and-somerset,2022/23,Criminal damage and arson,597,852,559,797
Avon and Somerset,avon-and-somerset,2022/23,Drug offences,1081,888,1055,880
Avon and Somerset,avon-and-somerset,2022/23,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2022/23,Miscellaneous crimes against society,145,294,138,287
Avon and Somerset,avon-and-somerset,2022/23,Possession of weapons offences,157,337,156,357
Avon and Somerset,avon-and-somerset,2022/23,Public order offences,682,1576,698,1663
Avon and Somerset,avon-and-somerset,2022/23,Robbery,25,153,19,184
Avon and Somerset,avon-and-somerset,2022/23,Sexual offences,90,440,72,491
Avon and Somerset,avon-and-somerset,2022/23,Theft offences,637,2187,658,2349
Avon and Somerset,avon-and-somerset,2022/23,Violence against the person,2123,4113,2111,4303
Avon and Somerset,avon-and-somerset,2023/24,Criminal damage and arson,438,793,409,814
Avon and Somerset,avon-and-somerset,2023/24,Drug offences,877,866,854,918
Avon and Somerset,avon-and-somerset,2023/24,Fraud offences to 2012/13,0,0,0,0
Avon and Somerset,avon-and-somerset,2023/24,Miscellaneous crimes against society,137,238,147,232
Avon and Somerset,avon-and-somerset,2023/24,Possession of weapons offences,128,324,129,339
Avon and Somerset,avon-and-somerset,2023/24,Public order offences,469,1447,436,1446
Avon and Somerset,avon-and-somerset,2023/24,Robbery,21,172,27,217
Avon and Somerset,avon-and-somerset,2023/24,Sexual offences,71,451,73,428
Avon and Somerset,avon-and-somerset,2023/24,Theft offences,717,2506,683,2650
Avon and Somerset,avon-and-somerset,2023/24,Violence against the person,1933,4094,1923,4378
Avon and Somerset,avon-and-somerset,2024/25,Criminal damage and arson,332,741,336,738
Avon and Somerset,avon-and-somerset,2024/25,Drug offences,666,947,670,813
