force,slug,fy,closed_all_t1,closed_all_t2,closed_all_t3,closed_all_t6,closed_all_t7,closed_all_t8,closed_all_t22,closed_all_oocd,closed_all_positive,closed_all_assigned,closed_ex_fraud_t1,closed_ex_fraud_t2,closed_ex_fraud_t3,closed_ex_fraud_t6,closed_ex_fraud_t7,closed_ex_fraud_t8,closed_ex_fraud_t22,closed_ex_fraud_oocd,closed_ex_fraud_positive,closed_ex_fraud_assigned,recorded_all_t1,recorded_all_t2,recorded_all_t3,recorded_all_t6,recorded_all_t7,recorded_all_t8,recorded_all_t22,recorded_all_oocd,recorded_all_positive,recorded_all_assigned,recorded_ex_fraud_t1,recorded_ex_fraud_t2,recorded_ex_fraud_t3,recorded_ex_fraud_t6,recorded_ex_fraud_t7,recorded_ex_fraud_t8,recorded_ex_fraud_t22,recorded_ex_fraud_oocd,recorded_ex_fraud_positive,recorded_ex_fraud_assigned
Avon and Somerset,avon-and-somerset,2014/15,16054,1066,3582,570,1071,2882,0,9171,25225,96095,16054,1066,3582,570,1071,2882,0,9171,25225,96095,15914,1055,3537,571,1090,2865,0,9118,25032,97572,15914,1055,3537,571,1090,2865,0,9118,25032,97572
Avon and Somerset,avon-and-somerset,2015/16,11634,651,2159,355,809,1890,0,5864,17498,105069,11634,651,2159,355,809,1890,0,5864,17498,105069,13696,747,2471,387,860,2074,0,6539,20235,116151,13696,747,2471,387,860,2074,0,6539,20235,116151
Avon and Somerset,avon-and-somerset,2016/17,14739,747,2435,387,809,1998,0,6376,21115,142661,14739,747,2435,387,809,1998,0,6376,21115,142661,13951,606,2195,361,800,1842,6,5810,19761,137781,13951,606,2195,361,800,1842,6,5810,19761,137781
Avon and Somerset,avon-and-somerset,2017/18,12266,456,1754,207,724,1423,0,4564,16830,137971,12266,456,1754,207,724,1423,0,4564,16830,137971,12692,518,1836,216,733,1539,7,4849,17541,138680,12692,518,1836,216,733,1539,7,4849,17541,138680
Avon and Somerset,avon-and-somerset,2018/19,11411,394,1580,138,380,1554,0,4046,15457,129904,11411,394,1580,138,380,1554,0,4046,15457,129904,12820,384,1717,114,325,1713,65,4318,17138,135506,12820,384,1717,114,325,1713,65,4318,17138,135506
Avon and Somerset,avon-and-somerset,2019/20,13071,360,1716,5,11,1933,1149,5174,18245,142126,13071,360,1716,5,11,1933,1149,5174,18245,142126,11931,337,1458,1,5,1726,1396,4923,16854,137321,11931,337,1458,1,5,1726,1396,4923,16854,137321
Avon and Somerset,avon-and-somerset,2020/21,10918,291,1332,6,15,1800,1689,5133,16051,122374,10918,291,1332,6,15,1800,1689,5133,16051,122374,10616,247,1342,1,4,1876,1663,5133,15749,121074,10616,247,1342,1,4,1876,1663,5133,15749,121074
Avon and Somerset,avon-and-somerset,2021/22,10091,246,1390,0,5,2202,1531,5374,15465,138268,10091,246,1390,0,5,2202,1531,5374,15465,138268,10600,250,1411,0,4,2214,1545,5424,16024,139465,10600,250,1411,0,4,2214,1545,5424,16024,139465
Avon and Somerset,avon-and-somerset,2022/23,10840,203,1247,0,2,2251,1834,5537,16377,140654,10840,203,1247,0,2,2251,1834,5537,16377,140654,11311,210,1215,0,1,2187,1853,5466,16777,141130,11311,210,1215,0,1,2187,1853,5466,16777,141130
Avon and Somerset,avon-and-somerset,2023/24,10891,255,1071,0,5,1830,1630,4791,15682,146234,10891,255,1071,0,5,1830,1630,4791,15682,146234,11422,231,1029,0,6,1754,1661,4681,16103,148626,11422,231,1029,0,6,1754,1661,4681,16103,148626
Avon and Somerset,avon-and-somerset,2024/25,12318,135,889,0,4,1373,1768,4169,16487,164305,12318,135,889,0,4,1373,1768,4169,16487,164305,11779,109,900,0,3,1346,1735,4093,15872,163184,11779,109,900,0,3,1346,1735,4093,15872,163184
