fy,q,closed_all_t1,closed_all_t2,closed_all_t3,closed_all_t6,closed_all_t7,closed_all_t8,closed_all_t22,closed_all_oocd,closed_all_positive,closed_all_assigned,closed_ex_fraud_t1,closed_ex_fraud_t2,closed_ex_fraud_t3,closed_ex_fraud_t6,closed_ex_fraud_t7,closed_ex_fraud_t8,closed_ex_fraud_t22,closed_ex_fraud_oocd,closed_ex_fraud_positive,closed_ex_fraud_assigned,recorded_all_t1,recorded_all_t2,recorded_all_t3,recorded_all_t6,recorded_all_t7,recorded_all_t8,recorded_all_t22,recorded_all_oocd,recorded_all_positive,recorded_all_assigned,recorded_ex_fraud_t1,recorded_ex_fraud_t2,recorded_ex_fraud_t3,recorded_ex_fraud_t6,recorded_ex_fraud_t7,recorded_ex_fraud_t8,recorded_ex_fraud_t22,recorded_ex_fraud_oocd,recorded_ex_fraud_positive,recorded_ex_fraud_assigned
2014/15,1,147635,5661,31838,9434,13037,29096,0,89066,236701,639282,147565,5661,31831,9434,13037,29095,0,89058,236623,638887,113295,4861,22675,6221,7837,26933,0,68527,181822,596994,113295,4861,22675,6221,7837,26933,0,68527,181822,596994
2014/15,2,148019,5707,31268,8660,11699,29876,0,87210,235229,750210,147915,5707,31265,8660,11699,29876,0,87207,235122,749981,121719,4548,23507,6239,7319,27060,0,68673,190392,686841,121719,4548,23507,6239,7319,27060,0,68673,190392,686841
2014/15,3,150640,5375,29242,8037,11075,29005,0,82734,233374,774121,150539,5375,29238,8037,11075,29003,0,82728,233267,773920,118896,4657,22415,6012,7342,26286,0,66712,185608,692527,118896,4657,22415,6012,7342,26286,0,66712,185608,692527
2014/15,4,146446,5021,27536,7492,10736,28475,0,79260,225706,773578,146381,5021,27530,7492,10736,28473,0,79252,225633,773372,134690,4849,25985,6897,10168,27923,0,75822,210512,839103,134690,4849,25985,6897,10168,27923,0,75822,210512,839103
2015/16,1,136819,4503,24897,6806,8831,28941,0,73978,210797,892654,136819,4503,24897,6806,8831,28941,0,73978,210797,892652,143979,4958,26150,6696,9297,31594,0,78695,222674,946059,143979,4958,26150,6696,9297,31594,0,78695,222674,946059
2015/16,2,145437,4676,26576,6136,9271,30591,0,77250,222687,974677,145437,4676,26576,6136,9271,30591,0,77250,222687,974675,142603,4210,25722,5988,9198,29607,0,74725,217328,956899,142603,4210,25722,5988,9198,29607,0,74725,217328,956899
2015/16,3,138359,4412,24618,6216,9102,29452,0,73800,212159,968866,138359,4412,24618,6216,9102,29452,0,73800,212159,968868,137984,4443,24907,5855,8995,29175,0,73375,211359,979814,137984,4443,24907,5855,8995,29175,0,73375,211359,979814
2015/16,4,136214,4298,23964,5692,9081,28890,1,71926,208140,971052,136214,4298,23964,5692,9081,28890,1,71926,208140,971051,132123,4330,22963,5516,8973,27274,3,69059,201182,947709,132123,4330,22963,5516,8973,27274,3,69059,201182,947709
2016/17,1,128846,4050,22161,5161,8698,28949,0,69019,197865,968331,128846,4050,22161,5161,8698,28949,0,69019,197865,968329,133540,4132,22539,5085,8790,30081,0,70627,204167,1013890,133540,4132,22539,5085,8790,30081,0,70627,204167,1013890
2016/17,2,128956,3852,21331,4390,8511,27970,0,66054,195010,1040786,128956,3852,21331,4390,8511,27970,0,66054,195010,1040781,133928,3680,21620,4523,8547,27660,3,66033,199961,1067259,133928,3680,21620,4523,8547,27660,3,66033,199961,1067259
2016/17,3,132385,3899,20831,4463,8113,27291,2,64599,196984,1107151,132385,3899,20831,4463,8113,27291,2,64599,196984,1107150,128129,3776,20585,4387,8247,26865,4,63864,191993,1090308,128129,3776,20585,4387,8247,26865,4,63864,191993,1090308
2016/17,4,136261,3696,20022,4142,8282,27005,0,63147,199408,1117408,136261,3696,20022,4142,8282,27005,0,63147,199408,1117405,126906,3726,18191,3726,7612,24892,18,58165,185071,1073037,126906,3726,18191,3726,7612,24892,18,58165,185071,1073037
2017/18,1,121930,3405,17001,3490,7480,25917,1,57294,179224,1131328,121930,3405,17001,3490,7480,25917,1,57294,179224,1131322,131901,3694,18408,3683,7713,27687,16,61201,193102,1201409,131901,3694,18408,3683,7713,27687,16,61201,193102,1201409
2017/18,2,124349,3392,17026,3296,7731,25661,0,57106,181455,1200311,124349,3392,17026,3296,7731,25661,0,57106,181455,1200306,130102,3222,17646,3212,8091,25980,5,58156,188258,1234385,130102,3222,17646,3212,8091,25980,5,58156,188258,1234385
2017/18,3,123989,3326,16875,3216,8476,26136,0,58029,182018,1255745,123989,3326,16875,3216,8476,26136,0,58029,182018,1255743,122843,3386,16929,3252,8415,26243,15,58240,181083,1235963,122843,3386,16929,3252,8415,26243,15,58240,181083,1235963
2017/18,4,122169,3234,16166,3168,7962,25140,1,55671,177840,1200083,122169,3234,16166,3168,7962,25140,1,55671,177840,1200082,118233,2956,15257,3065,7619,24356,10,53263,171496,1175907,118233,2956,15257,3065,7619,24356,10,53263,171496,1175907
2018/19,1,113247,2692,14812,2770,5824,25091,0,51189,164436,1181032,113247,2692,14812,2770,5824,25091,0,51189,164436,1181032,125542,2830,15958,2953,5870,28716,53,56380,181922,1304309,125542,2830,15958,2953,5870,28716,53,56380,181922,1304309
2018/19,2,116238,2656,14915,2692,4874,26886,6,52029,168267,1305584,116238,2656,14915,2692,4874,26886,6,52029,168267,1305584,122916,2476,15314,2743,4524,27417,78,52552,175468,1330843,122916,2476,15314,2743,4524,27417,78,52552,175468,1330843
2018/19,3,118011,2717,15522,2938,5305,28790,10,55282,173293,1353950,118011,2717,15522,2938,5305,28790,10,55282,173293,1353949,117246,2679,14800,2915,5282,28233,142,54051,171297,1313124,117246,2679,14800,2915,5282,28233,142,54051,171297,1313124
2018/19,4,116708,2676,14716,2810,5441,27949,28,53620,170328,1293123,116708,2676,14716,2810,5441,27949,28,53620,170328,1293120,115846,2777,14484,2888,5450,28847,476,54922,170768,1284372,115846,2777,14484,2888,5450,28847,476,54922,170768,1284372
2019/20,1,109970,2473,13718,2894,5260,26407,562,51314,161284,1258429,109970,2473,13718,2894,5260,26407,562,51314,161284,1258429,113462,2513,14166,2974,5329,28575,1489,55046,168508,1312756,113462,2513,14166,2974,5329,28575,1489,55046,168508,1312756
2019/20,2,102544,2317,13517,2791,4800,25738,1344,50507,153051,1207666,102544,2317,13517,2791,4800,25738,1344,50507,153051,1207666,109844,2144,13917,3008,4805,28508,1747,54129,163973,1284408,109844,2144,13917,3008,4805,28508,1747,54129,163973,1284408
2019/20,3,99986,2135,12972,2374,3974,25048,1962,48465,148451,1188511,99986,2135,12972,2374,3974,25048,1962,48465,148451,1188511,105088,2313,13424,2724,3882,28011,2533,52887,157975,1246715,105088,2313,13424,2724,3882,28011,2533,52887,157975,1246715
2019/20,4,109574,2324,13343,3295,3764,36847,3791,63364,172938,1277543,109574,2324,13343,3295,3764,36847,3791,63364,172938,1277543,103525,2276,12282,2699,3494,28758,3816,53325,156850,1193784,103525,2276,12282,2699,3494,28758,3816,53325,156850,1193784
2020/21,1,120691,2628,14169,4084,5397,37083,5384,68745,189436,1280798,120691,2628,14169,4084,5397,37083,5384,68745,189436,1280798,106360,1576,12761,3924,5194,31909,5589,60953,167313,1054194,106360,1576,12761,3924,5194,31909,5589,60953,167313,1054194
2020/21,2,102401,1838,13457,3195,4103,30677,4882,58152,160553,1167848,102401,1838,13457,3195,4103,30677,4882,58152,160553,1167848,110497,1943,14403,3069,3886,32861,5990,62152,172649,1280189,110497,1943,14403,3069,3886,32861,5990,62152,172649,1280189
2020/21,3,100255,1855,12791,2843,3899,32977,5779,60144,160399,1216650,100255,1855,12791,2843,3899,32977,5779,60144,160399,1216650,93769,1948,12254,2882,3832,32901,6261,60078,153847,1160208,93769,1948,12254,2882,3832,32901,6261,60078,153847,1160208
2020/21,4,94948,1929,11884,2986,3641,31480,6924,58844,153792,1095874,94948,1929,11884,2986,3641,31480,6924,58844,153792,1095874,85484,1683,10820,3038,3503,31210,6678,56932,142416,1062566,85484,1683,10820,3038,3503,31210,6678,56932,142416,1062566
2021/22,1,86648,1722,11868,2591,2806,33253,7645,59885,146533,1141580,86648,1722,11868,2591,2806,33253,7645,59885,146533,1141580,94596,2014,12642,2505,2629,36267,8441,64498,159094,1288421,94596,2014,12642,2505,2629,36267,8441,64498,159094,1288421
2021/22,2,85571,1735,12312,2176,2132,32218,7544,58117,143688,1237452,85571,1735,12312,2176,2132,32218,7544,58117,143688,1237452,96046,1710,12816,2371,2026,33090,7863,59876,155922,1349389,96046,1710,12816,2371,2026,33090,7863,59876,155922,1349389
2021/22,3,93768,1885,12512,2416,1756,33832,8655,61056,154824,1258535,93768,1885,12512,2416,1756,33832,8655,61056,154824,1258535,94435,1746,12460,2342,1696,34184,8803,61231,155666,1338827,94435,1746,12460,2342,1696,34184,8803,61231,155666,1338827
2021/22,4,98833,1873,12761,2454,1484,37053,8753,64378,163211,1390674,98833,1873,12761,2454,1484,37053,8753,64378,163211,1390674,94774,2121,11913,2040,1429,35896,9152,62551,157325,1300928,94774,2121,11913,2040,1429,35896,9152,62551,157325,1300928
2022/23,1,94481,1850,11602,1762,1076,35016,8220,59526,154007,1284752,94481,1850,11602,1762,1076,35016,8220,59526,154007,1284752,99722,2038,12152,1759,1124,37402,9212,63687,163409,1410655,99722,2038,12152,1759,1124,37402,9212,63687,163409,1410655
2022/23,2,97980,2041,12049,1724,983,35668,8412,60877,158857,1378710,97980,2041,12049,1724,983,35668,8412,60877,158857,1378710,101626,1750,12118,1681,959,34941,7997,59446,161072,1419149,101626,1750,12118,1681,959,34941,7997,59446,161072,1419149
2022/23,3,99571,1874,11991,1518,941,35343,7827,59494,159065,1375564,99571,1874,11991,1518,941,35343,7827,59494,159065,1375564,95838,1565,11421,1513,818,34553,7314,57184,153022,1344581,95838,1565,11421,1513,818,34553,7314,57184,153022,1344581
2022/23,4,105229,1690,12211,1791,826,37243,7119,60880,166109,1540089,105229,1690,12211,1791,826,37243,7119,60880,166109,1540089,102559,1725,11170,1544,716,36209,7707,59071,161630,1346942,102559,1725,11170,1544,716,36209,7707,59071,161630,1346942
2023/24,1,99896,1598,10839,1234,622,36209,6591,57093,156989,1367698,99896,1598,10839,1234,622,36209,6591,57093,156989,1367698,105036,1874,11056,1133,591,37560,7187,59401,164437,1386533,105036,1874,11056,1133,591,37560,7187,59401,164437,1386533
2023/24,2,104887,1702,10884,1215,557,37184,6496,58038,162925,1389278,104887,1702,10884,1215,557,37184,6496,58038,162925,1389278,109591,1468,10989,1215,516,36639,5913,56740,166331,1368263,109591,1468,10989,1215,516,36639,5913,56740,166331,1368263
2023/24,3,109191,1590,11062,1037,390,36603,6502,57184,166375,1432072,109191,1590,11062,1037,390,36603,6502,57184,166375,1432072,107487,1487,10892,970,348,36580,6464,56741,164228,1311805,107487,1487,10892,970,348,36580,6464,56741,164228,1311805
2023/24,4,113126,1632,11212,830,290,39099,6527,59590,172716,1265851,113126,1632,11212,830,290,39099,6527,59590,172716,1265851,108854,1484,10620,876,229,38078,6753,58040,166894,1262204,108854,1484,10620,876,229,38078,6753,58040,166894,1262204
2024/25,1,112010,1505,10160,531,194,37431,6831,56652,168662,1268655,112010,1505,10160,531,194,37431,6831,56652,168662,1268655,117372,1541,10752,877,176,40122,7056,60524,177896,1345986,117372,1541,10752,877,176,40122,7056,60524,177896,1345986
2024/25,2,115694,1431,10106,687,156,40837,6202,59419,175113,1380675,115694,1431,10106,687,156,40837,6202,59419,175113,1380675,118953,1288,10354,853,141,41312,6169,60117,179070,1346052,118953,1288,10354,853,141,41312,6169,60117,179070,1346052
2024/25,3,121729,1340,10607,1246,115,46233,6945,66486,188215,1374695,121729,1340,10607,1246,115,46233,6945,66486,188215,1374695,113748,1274,9954,953,84,42216,6509,60990,174738,1286878,113748,1274,9954,953,84,42216,6509,60990,174738,1286878
2024/25,4,127265,1553,10862,1055,36,44238,7171,64915,192180,1273110,127265,1553,10862,1055,36,44238,7171,64915,192180,1273110,115831,1386,9491,887,23,41681,7298,60766,176597,1220987,115831,1386,9491,887,23,41681,7298,60766,176597,1220987
2025/26,1,122765,1334,9966,560,18,42604,6952,61434,184199,1239541,122765,1334,9966,560,18,42604,6952,61434,184199,1239541,122092,1299,10087,818,16,45398,7026,64644,186736,1310205,122092,1299,10087,818,16,45398,7026,64644,186736,1310205
2025/26,2,135467,1308,10413,780,13,45200,6689,64403,199870,1355279,135467,1308,10413,780,13,45200,6689,64403,199870,1355279,122295,998,9644,951,14,45190,5989,62786,185081,1304620,122295,998,9644,951,14,45190,5989,62786,185081,1304620
2025/26,3,143723,1309,10508,725,17,49280,7334,69173,212896,1363634,143723,1309,10508,725,17,49280,7334,69173,212896,1363634,110863,780,9122,921,6,45105,5870,61804,172667,1198539,110863,780,9122,921,6,45105,5870,61804,172667,1198539
