fy,closed_all_t1,closed_all_t2,closed_all_t3,closed_all_t6,closed_all_t7,closed_all_t8,closed_all_t22,closed_all_oocd,closed_all_positive,closed_all_assigned,closed_ex_fraud_t1,closed_ex_fraud_t2,closed_ex_fraud_t3,closed_ex_fraud_t6,closed_ex_fraud_t7,closed_ex_fraud_t8,closed_ex_fraud_t22,closed_ex_fraud_oocd,closed_ex_fraud_positive,closed_ex_fraud_assigned,recorded_all_t1,recorded_all_t2,recorded_all_t3,recorded_all_t6,recorded_all_t7,recorded_all_t8,recorded_all_t22,recorded_all_oocd,recorded_all_positive,recorded_all_assigned,recorded_ex_fraud_t1,recorded_ex_fraud_t2,recorded_ex_fraud_t3,recorded_ex_fraud_t6,recorded_ex_fraud_t7,recorded_ex_fraud_t8,recorded_ex_fraud_t22,recorded_ex_fraud_oocd,recorded_ex_fraud_positive,recorded_ex_fraud_assigned
2014/15,592740,21764,119884,33623,46547,116452,0,338270,931010,2937191,592400,21764,119864,33623,46547,116447,0,338245,930645,2936160,488600,18915,94582,25369,32666,108202,0,279734,768334,2815465,488600,18915,94582,25369,32666,108202,0,279734,768334,2815465
2015/16,556829,17889,100055,24850,36285,117874,1,296954,853783,3807249,556829,17889,100055,24850,36285,117874,1,296954,853783,3807246,556689,17941,99742,24055,36463,117650,3,295854,852543,3830481,556689,17941,99742,24055,36463,117650,3,295854,852543,3830481
2016/17,526448,15497,84345,18156,33604,111215,2,262819,789267,4233676,526448,15497,84345,18156,33604,111215,2,262819,789267,4233665,522503,15314,82935,17721,33196,109498,25,258689,781192,4244494,522503,15314,82935,17721,33196,109498,25,258689,781192,4244494
2017/18,492437,13357,67068,13170,31649,102854,2,228100,720537,4787467,492437,13357,67068,13170,31649,102854,2,228100,720537,4787453,503079,13258,68240,13212,31838,104266,46,230860,733939,4847664,503079,13258,68240,13212,31838,104266,46,230860,733939,4847664
2018/19,464204,10741,59965,11210,21444,108716,44,212120,676324,5133689,464204,10741,59965,11210,21444,108716,44,212120,676324,5133685,481550,10762,60556,11499,21126,113213,749,217905,699455,5232648,481550,10762,60556,11499,21126,113213,749,217905,699455,5232648
2019/20,422074,9249,53550,11354,17798,114040,7659,213650,635724,4932149,422074,9249,53550,11354,17798,114040,7659,213650,635724,4932149,431919,9246,53789,11405,17510,113852,9585,215387,647306,5037663,431919,9246,53789,11405,17510,113852,9585,215387,647306,5037663
2020/21,418295,8250,52301,13108,17040,132217,22969,245885,664180,4761170,418295,8250,52301,13108,17040,132217,22969,245885,664180,4761170,396110,7150,50238,12913,16415,128881,24518,240115,636225,4557157,396110,7150,50238,12913,16415,128881,24518,240115,636225,4557157
2021/22,364820,7215,49453,9637,8178,136356,32597,243436,608256,5028241,364820,7215,49453,9637,8178,136356,32597,243436,608256,5028241,379851,7591,49831,9258,7780,139437,34259,248156,628007,5277565,379851,7591,49831,9258,7780,139437,34259,248156,628007,5277565
2022/23,397261,7455,47853,6795,3826,143270,31578,240777,638038,5579115,397261,7455,47853,6795,3826,143270,31578,240777,638038,5579115,399745,7078,46861,6497,3617,143105,32230,239388,639133,5521327,399745,7078,46861,6497,3617,143105,32230,239388,639133,5521327
2023/24,427100,6522,43997,4316,1859,149095,26116,231905,659005,5454899,427100,6522,43997,4316,1859,149095,26116,231905,659005,5454899,430968,6313,43557,4194,1684,148857,26317,230922,661890,5328805,430968,6313,43557,4194,1684,148857,26317,230922,661890,5328805
2024/25,476698,5829,41735,3519,501,168739,27149,247472,724170,5297135,476698,5829,41735,3519,501,168739,27149,247472,724170,5297135,465904,5489,40551,3570,424,165331,27032,242397,708301,5199903,465904,5489,40551,3570,424,165331,27032,242397,708301,5199903
2025/26,550778,5219,41988,3637,65,185570,28396,264875,815653,5258158,550778,5219,41988,3637,65,185570,28396,264875,815653,5258158,447514,3458,35658,3358,48,174687,23277,240486,688000,4850405,447514,3458,35658,3358,48,174687,23277,240486,688000,4850405
